episode,gravity,time,reward,action,position,speed,next_position,next_speed,state,next_state
1,1,17.08,-164,1,-0.5,0,-0.500176843,-0.000176843,112,112
1,1,17.08,-164,1,-0.500176843,-0.000176843,-0.500529206,-0.000352363,112,112
1,1,17.08,-164,1,-0.500529206,-0.000352363,-0.501054453,-0.000525247,112,112
1,1,17.08,-164,1,-0.501054453,-0.000525247,-0.501748653,-0.0006942,112,112
1,1,17.08,-164,1,-0.501748653,-0.0006942,-0.502606612,-0.000857959,112,112
1,1,17.08,-164,1,-0.502606612,-0.000857959,-0.503621908,-0.001015296,112,112
1,1,17.08,-164,1,-0.503621908,-0.001015296,-0.50478694,-0.001165033,112,112
1,1,17.08,-164,1,-0.50478694,-0.001165033,-0.506092987,-0.001306047,112,112
1,1,17.08,-164,0,-0.506092987,-0.001306047,-0.508530267,-0.00243728,112,112
1,1,17.08,-164,0,-0.508530267,-0.00243728,-0.512080522,-0.003550255,112,112
1,1,17.08,-164,0,-0.512080522,-0.003550255,-0.516717147,-0.004636625,112,112
1,1,17.08,-164,0,-0.516717147,-0.004636625,-0.52240538,-0.005688233,112,111
1,1,17.08,-164,0,-0.52240538,-0.005688233,-0.529102564,-0.006697184,111,111
1,1,17.08,-164,0,-0.529102564,-0.006697184,-0.536758471,-0.007655907,111,111
1,1,17.08,-164,0,-0.536758471,-0.007655907,-0.545315706,-0.008557235,111,111
1,1,17.08,-164,0,-0.545315706,-0.008557235,-0.55471018,-0.009394473,111,96
1,1,17.08,-164,0,-0.55471018,-0.009394473,-0.564871656,-0.010161476,96,96
1,1,17.08,-164,0,-0.564871656,-0.010161476,-0.575724377,-0.01085272,96,96
1,1,17.08,-164,0,-0.575724377,-0.01085272,-0.587187746,-0.01146337,96,96
1,1,17.08,-164,0,-0.587187746,-0.01146337,-0.599177086,-0.01198934,96,96
1,1,17.08,-164,0,-0.599177086,-0.01198934,-0.611604433,-0.012427347,96,96
1,1,17.08,-164,0,-0.611604433,-0.012427347,-0.624379378,-0.012774946,96,96
1,1,17.08,-164,0,-0.624379378,-0.012774946,-0.637409932,-0.013030554,96,96
